Answer 1,Answer 2,Answer 3,Answer 4,Answer 5
microphone,lamp,chair,crown,brain
screwdriver,chainsaw,sunglasses,dinosaur,tree
flag,ship,pie,pineapple,helmet
ruler,pen,guitar,skateboard,tomato
bathtub,computer,whale,telescope,submarine
flower,blanket,pacifier,harp,acorn
window,doll,stove,skeleton,vacuum
printer,shoe,bed,fork,shield
catapult,apple,envelope,broom,windmill
flashlight,pyramid,brick,bicycle,truck
train,horse,knife,sponge,shirt
newspaper,clock,basketball,mirror,backpack
phone,car,dragon,platypus,scissors
broccoli,shovel,scorpion,sandwich,piano
pillow,pencil,ladder,laptop,headphones
tent,toothbrush,hammer,coin,peanut
bottle,key,pants,fish,pizza
bowl,bread,wheelchair,rope,giraffe
toilet,house,cloak,soap,banana
painting,tractor,sword,book,umbrella
